opcode,B,C,D
# Pointer to source vector (length 8)
LOAD_CONST,4000,40,
# Vector data
LOAD_CONST,170,4000,
LOAD_CONST,85,4001,
LOAD_CONST,4096,4002,
LOAD_CONST,12345,4003,
LOAD_CONST,54321,4004,
LOAD_CONST,65535,4005,
LOAD_CONST,255,4006,
LOAD_CONST,0,4007,
# Temporary storage base 5000
NOT_MEM,40,0,5000
WRITE_MEM,5000,4000,
NOT_MEM,40,1,5001
WRITE_MEM,5001,4001,
NOT_MEM,40,2,5002
WRITE_MEM,5002,4002,
NOT_MEM,40,3,5003
WRITE_MEM,5003,4003,
NOT_MEM,40,4,5004
WRITE_MEM,5004,4004,
NOT_MEM,40,5,5005
WRITE_MEM,5005,4005,
NOT_MEM,40,6,5006
WRITE_MEM,5006,4006,
NOT_MEM,40,7,5007
WRITE_MEM,5007,4007,
